Customer_ID,Customer_Active,Group_ID,Date_Added,Customer_Name,Sales_Person,GSTIN,Customer_Address,Customer_City,Customer_State,Customer_Phone,Customer_Email,lrmailid,Customer_Contract_Type,Customer_Credit_Days,Createdby
SH0000054,Active,ARMSTRONG,12-12-2022 05:47,AVANTHIKA INTERIOR SYSTEMs PRIVATE LIMITED,CORPORATE,32AAECA4382L1ZN,"AVANTHIKA INTERIOR SYSTEMs PRIVATE LIMITED
AVANTIKA INTERIOR SYSTEMS (P) LTD
Kaloor, Kochi,695014",Kochi,Kerala,,venu@avantikainteriors.com;salestvm@avantikainteriors.com;accounts@avantikainteriors.com;knauf@avantikainteriors.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000056,Active,ARMSTRONG,7/20/2022 7:42:56 PM,MAC CEILING SYSTEMS,CORPORATE,33ABKFM6829J1ZV,"MAC CEILING SYSTEMS
No.311
Sanganoor,641027",Chennai,Tamil Nadu,,macceilingsystems@gmail.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000060,Active,ARMSTRONG,1/15/2025 2:55:43 PM,OM SAI INTEX PVT LTD,CORPORATE,29AAACO6709P1ZT," 9, Second Floor,
10th Main Road,
Jeevan Bhima Nagar,
Bangalore 560075.",Bangalore,Karnataka,,vendor.mgmt@omsaiintex.com;accounts.one@omsaiintex.com;accounts.three@omsaiintex.com;purchase.five@omsaiintex.com;Purchase.one@omsaiintex.com;Purchase.two@omsaiintex.com;Purchase.five@omsaiintex.com;Purchase.six@omsaiintex.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000065,Active,ARMSTRONG,7/20/2022 7:43:14 PM,ONE SOURCE,CORPORATE,29ABFPD3377B1ZX,"One Source Satya No.23, Ground floor, Shanthi Rd, Shanti Nagar, Bengaluru, Karnataka 560027",Bangalore,Karnataka,,accounts@onesourceglobal.in,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000067,Active,ARMSTRONG,7/20/2022 7:44:28 PM,CEILING IMPEX PRIVATE LIMITED,CORPORATE,29AACCC8535F1ZK,"29AACCC8535F1ZK-CEILING IMPEX PRIVATE LIMITED
PLOT NO. 435A
NAGAWARA , SARAIPALYA,560077",Bangalore,Karnataka,,rahul@ciplgroup.rahul@ciplgroup.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000346,Active,armstrong,7/21/2022 3:25:36 PM,SAI ARM,CORPORATE,20AKQPR3225A1ZM,"SAI AAWASH, OPP. PANCHSHIL APPARTMENT, CIRCULAR ROAD, LALPUR, Ranchi, Jharkhand, 834001",RANCHI,JHARKHAND,,abc,,TOPAY,30,Migration
SH0000347,Active,ASHIRWAD,9/23/2023 1:35:50 PM,ASHIRWAD EQUIPMENTS PRIVATE LIMITED,CORPORATE,24AGKPJ7872K1ZV,"7A,ICHAPORE INDUSTRAIL CO.OP.
SOCIETY,BUS STAND3,ICHAPORE,SURAT-394510
SCIETY,BUS STAND3,ICHAPORE, CO.OP SOCIETY,BUS STAND,ICHAPORESURAT-394510",SURAT,GUJARAT,,info@dlslogistics.in,,TBB,30,Migration
SH0000349,Active,HRJHON,5/16/2022 3:56:12 PM,PRISM JOHNSON LIMITED -PEN,CORPORATE,27AAACP6224A1ZX,"PRISM JOHNSON LIMITED
HR Johnson (India) Division
Unit- 2, Vill : khar Devli, Gadab,
402107 TAL: PEN, DIST: RAIGAD
INDIA",MUMBAI,MAHARASHTRA,,p.dinesh@hrjohnsonindia.com,p.dinesh@hrjohnsonindia.com,TBB,30,Migration
SH0000210,Active,ARMSTRONG,7/20/2022 7:45:47 PM,SRIADITYA CREATIONS,CORPORATE,37ANTPG5169L1Z7,"BODDAPATI VARI STREET 26-12-1
GANDHINAGAR
VIJAYAWADA,ANDHRA PRADESH-520003",Vijayawada,Andhra Pradesh,,sriadityacreations@gmail.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000196,Active,ARMSTRONG,7/20/2022 7:45:47 PM,BSC INTERIORS PRIVATE LTD,CORPORATE,07AAE CB615 8P1Z,"BLDG NO E-2 F-2 SHREE RAJLAXMI LOGISTICS PARK
NASHIK BYPASS ROAD,VILLAGE VADPE
BHIWANDI,MAHARASHTRA-421302",Bhiwandi,Maharashtra,,praveen.gupta@bscinteriors.in;sagar.verma@bscinteriors.in;shweta.singh@bscinteriors.in,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000197,Active,ARMSTRONG,7/20/2022 7:45:47 PM,RICHI INTERIORS,CORPORATE,36AAG FR138 4L1Z,"BLOCK NO.03 G9 10-15 ,16 FLR
DIVYASHREE NSL INFRA PVT LTD SEZ
ITITES RANGA REDDY HYDERABAD,TELANGANA-500082",Hyderabad,Telangana,,admin@richiinteriors.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TBB,30,Migration
SH0000198,Active,ARMSTRONG,7/20/2022 7:45:47 PM,ODD JOBS INDIA PRIVATE LIMITED TELANGANA,CORPORATE,36AABCO7955N,"PLOT NO 75
PRASHANTI NAGAR
KUKATPALLY HYDERABAD,TELANGANA-500032",Hyderabad,Telangana,,warehouse@oddjobsindia.com; accounts@oddjobsindia.com,pramod.chilka@knauf.com;anil.pokale@knauf.com;shashikant.patil@knauf.com;cwhouseindia@knauf.com,TOPAY,30,Migration
